I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.070,3.000,6,20,96.000,1941.750,15.000,83.100,42.880,10.660,
0.070,3.000,7,20,108.000,1654.850,16.100,98.700,36.710,9.180,
0.070,3.000,8,20,103.000,1480.540,15.000,92.700,33.920,8.930,
0.070,3.000,9,20,89.000,1774.270,17.400,78.800,39.600,9.210,
0.070,3.500,0,20,89.000,1732.260,17.800,77.300,36.610,9.430,
0.070,3.500,1,20,104.000,1919.030,17.600,91.300,44.880,9.880,
0.070,3.500,2,20,144.000,1760.080,17.700,132.800,43.500,11.480,
0.070,3.500,3,20,93.000,1931.230,17.500,80.400,43.870,10.200,
0.070,3.500,4,20,114.000,2035.200,17.500,106.000,39.050,10.420,
0.070,3.500,5,20,115.000,1835.090,17.500,104.300,48.900,9.700,
0.070,3.500,6,20,141.000,1941.750,17.500,131.800,51.590,11.180,
0.070,3.500,7,20,115.000,1654.850,17.500,106.000,40.950,9.720,
0.070,3.500,8,20,107.000,1480.540,19.500,96.900,47.410,9.270,
0.070,3.500,9,20,100.000,1774.270,17.500,89.200,43.770,10.190,
0.070,4.000,0,20,122.000,1732.260,20.100,110.900,42.530,10.670,
0.070,4.000,1,20,145.000,1919.030,20.000,132.300,58.460,10.950,
0.070,4.000,2,20,156.000,1760.080,20.000,144.400,49.100,12.280,
0.070,4.000,3,20,97.000,1931.230,20.000,86.500,47.560,10.970,
0.070,4.000,4,20,120.000,2035.200,20.100,111.100,44.290,10.850,
0.070,4.000,5,20,123.000,1835.090,20.000,112.500,58.730,10.750,
0.070,4.000,6,20,150.000,1941.750,20.000,140.200,58.210,12.090,
0.070,4.000,7,20,124.000,1654.850,20.000,114.000,47.130,10.150,
0.070,4.000,8,20,112.000,1480.540,20.000,101.500,48.260,9.930,
0.070,4.000,9,20,107.000,1774.270,20.000,96.200,51.420,10.640,
0.070,4.500,0,20,128.000,1732.260,22.500,116.700,49.000,10.700,
0.070,4.500,1,20,136.000,1919.030,22.500,123.600,58.980,10.650,
0.070,4.500,2,20,165.000,1760.080,24.300,153.500,55.800,11.850,
0.070,4.500,3,20,122.000,1931.230,22.500,109.800,52.760,10.540,
0.070,4.500,4,20,124.000,2035.200,22.500,115.300,44.850,10.680,
0.070,4.500,5,20,126.000,1835.090,22.500,115.700,63.100,10.270,
0.070,4.500,6,20,158.000,1941.750,22.500,148.200,62.060,11.370,
0.070,4.500,7,20,139.000,1654.850,22.500,128.500,52.840,9.880,
0.070,4.500,8,20,127.000,1480.540,22.500,116.100,51.610,9.560,
0.070,4.500,9,20,114.000,1774.270,22.500,103.700,58.040,10.140,
0.070,5.000,0,20,133.000,1732.260,25.100,121.400,51.800,11.400,
0.070,5.000,1,20,155.000,1919.030,25.000,142.500,73.520,16.800,
0.070,5.000,2,20,173.000,1760.080,26.600,161.600,60.040,20.030,
0.070,5.000,3,20,125.000,1931.230,25.000,112.700,55.880,17.490,
0.070,5.000,4,20,128.000,2035.200,25.000,119.100,50.570,17.380,
0.070,5.000,5,20,131.000,1835.090,25.000,120.700,68.050,17.050,
0.070,5.000,6,20,174.000,1941.750,25.000,164.600,63.500,19.840,
0.070,5.000,7,20,155.000,1654.850,25.000,144.900,57.160,17.450,
0.070,5.000,8,20,142.000,1480.540,25.100,131.400,59.700,16.560,
0.070,5.000,9,20,129.000,1774.270,25.000,119.300,60.640,17.910,
0.070,5.500,0,20,138.000,1732.260,27.600,126.700,56.190,21.390,
0.070,5.500,1,20,186.000,1919.030,27.600,176.200,83.610,18.040,
0.070,5.500,2,20,186.000,1760.080,29.300,174.300,66.620,19.000,
0.070,5.500,3,20,129.000,1931.230,27.500,116.800,63.700,17.290,
0.070,5.500,4,20,131.000,2035.200,27.500,122.200,59.910,17.480,
0.070,5.500,5,20,165.000,1835.090,28.000,153.500,74.280,16.930,
0.070,5.500,6,20,184.000,1941.750,27.500,174.600,69.420,17.900,
0.070,5.500,7,20,158.000,1654.850,27.500,148.000,59.190,15.860,
0.070,5.500,8,20,207.000,1480.540,27.700,197.400,68.460,15.380,
0.070,5.500,9,20,132.000,1774.270,29.300,123.000,64.360,15.520,
0.070,6.000,0,20,142.000,1732.260,30.100,130.400,58.140,12.460,
0.070,6.000,1,20,198.000,1919.030,30.500,186.800,96.130,16.690,
0.070,6.000,2,20,229.000,1760.080,31.700,217.800,70.050,19.490,
0.070,6.000,3,20,132.000,1931.230,30.000,119.400,65.870,16.620,
0.070,6.000,4,20,133.000,2035.200,30.000,125.000,64.660,17.170,
0.070,6.000,5,20,168.000,1835.090,30.500,156.100,80.070,16.400,
0.070,6.000,6,20,190.000,1941.750,30.000,180.400,73.580,19.640,
0.070,6.000,7,20,174.000,1654.850,30.000,163.400,65.640,16.270,
0.070,6.000,8,20,219.000,1480.540,30.200,209.500,71.280,16.310,
0.070,6.000,9,20,166.000,1774.270,30.000,155.100,71.130,17.620,
0.070,6.500,0,20,157.000,1732.260,32.500,145.900,63.240,20.660,
0.070,6.500,1,20,214.000,1919.030,33.100,202.200,103.770,19.590,
0.070,6.500,2,20,251.000,1760.080,34.000,240.000,73.990,20.660,
0.070,6.500,3,20,135.000,1931.230,32.500,122.100,68.950,19.090,
0.070,6.500,4,20,136.000,2035.200,32.500,127.100,71.390,19.170,
0.070,6.500,5,20,170.000,1835.090,33.100,158.800,83.360,18.730,
0.070,6.500,6,20,199.000,1941.750,32.600,189.900,80.070,19.950,
0.070,6.500,7,20,179.000,1654.850,32.500,168.900,69.810,17.320,
0.070,6.500,8,20,250.000,1480.540,32.700,239.900,85.290,16.800,
0.070,6.500,9,20,169.000,1774.270,32.500,158.100,74.060,17.090,
0.070,7.000,0,20,161.000,1732.260,35.000,149.900,64.710,14.530,
0.070,7.000,1,20,221.000,1919.030,37.000,209.200,111.490,11.500,
0.070,7.000,2,20,251.000,1760.080,35.000,240.000,77.910,14.550,
0.070,7.000,3,20,139.000,1931.230,36.700,126.900,70.520,11.970,
