I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.060,7.000,3,20,185.000,1931.230,36.500,176.500,101.100,12.170,
0.060,7.000,4,20,175.000,2035.200,41.200,164.200,101.660,12.780,
0.060,7.000,5,20,178.000,1835.090,35.700,166.500,106.700,11.810,
0.060,7.000,6,20,196.000,1941.750,35.300,186.600,100.720,13.660,
0.060,7.000,7,20,192.000,1654.850,35.000,181.600,99.680,11.600,
0.060,7.000,8,20,228.000,1480.540,35.000,218.200,105.020,11.170,
0.060,7.000,9,20,175.000,1774.270,35.000,164.200,109.570,12.130,
0.070,3.000,0,20,89.000,1732.260,16.200,77.800,39.560,12.190,
0.070,3.000,1,20,102.000,1919.030,15.300,91.800,45.410,11.980,
0.070,3.000,2,20,133.000,1760.080,15.500,121.200,46.300,13.330,
0.070,3.000,3,20,88.000,1931.230,15.000,77.700,49.330,11.850,
0.070,3.000,4,20,108.000,2035.200,15.600,99.500,43.440,11.850,
0.070,3.000,5,20,100.000,1835.090,18.400,89.500,50.920,11.330,
0.070,3.000,6,20,96.000,1941.750,15.000,83.800,48.420,12.470,
0.070,3.000,7,20,108.000,1654.850,19.800,98.700,45.420,10.850,
0.070,3.000,8,20,103.000,1480.540,15.900,92.700,45.880,10.390,
0.070,3.000,9,20,91.000,1774.270,18.600,80.600,45.790,11.020,
0.070,3.500,0,20,114.000,1732.260,18.200,102.700,44.880,10.080,
0.070,3.500,1,20,126.000,1919.030,20.100,113.400,57.080,9.610,
0.070,3.500,2,20,144.000,1760.080,17.700,132.800,54.310,10.530,
0.070,3.500,3,20,95.000,1931.230,17.500,84.200,54.700,9.410,
0.070,3.500,4,20,114.000,2035.200,17.700,106.000,47.490,9.560,
0.070,3.500,5,20,115.000,1835.090,20.100,104.300,59.520,9.280,
0.070,3.500,6,20,141.000,1941.750,17.500,131.800,59.690,10.280,
0.070,3.500,7,20,115.000,1654.850,21.600,106.000,52.850,9.100,
0.070,3.500,8,20,108.000,1480.540,23.000,98.600,51.820,8.550,
0.070,3.500,9,20,102.000,1774.270,19.500,92.000,51.230,9.250,
0.070,4.000,0,20,125.000,1732.260,20.900,113.500,53.710,9.260,
0.070,4.000,1,20,145.000,1919.030,22.100,132.300,71.410,9.620,
0.070,4.000,2,20,156.000,1760.080,22.700,144.400,59.480,10.670,
0.070,4.000,3,20,120.000,1931.230,20.000,107.400,61.710,9.410,
0.070,4.000,4,20,120.000,2035.200,20.100,111.100,50.440,9.780,
0.070,4.000,5,20,123.000,1835.090,20.000,112.500,67.310,9.210,
0.070,4.000,6,20,150.000,1941.750,20.300,140.200,65.450,10.380,
0.070,4.000,7,20,125.000,1654.850,21.400,114.100,56.260,8.930,
0.070,4.000,8,20,118.000,1480.540,24.600,108.300,58.300,8.560,
0.070,4.000,9,20,112.000,1774.270,20.000,101.600,56.440,9.330,
0.070,4.500,0,20,133.000,1732.260,22.500,121.600,59.920,9.440,
0.070,4.500,1,20,151.000,1919.030,23.900,138.500,76.480,9.640,
0.070,4.500,2,20,165.000,1760.080,24.300,153.500,65.010,11.010,
0.070,4.500,3,20,122.000,1931.230,22.500,109.800,66.640,9.510,
0.070,4.500,4,20,124.000,2035.200,22.500,115.700,61.190,9.780,
0.070,4.500,5,20,128.000,1835.090,22.700,118.000,74.220,9.090,
0.070,4.500,6,20,158.000,1941.750,22.900,148.200,68.150,10.330,
0.070,4.500,7,20,139.000,1654.850,22.500,128.500,63.770,8.940,
0.070,4.500,8,20,128.000,1480.540,25.000,118.000,63.060,8.550,
0.070,4.500,9,20,126.000,1774.270,22.500,116.300,66.920,9.160,
0.070,5.000,0,20,141.000,1732.260,25.100,129.700,64.390,9.590,
0.070,5.000,1,20,179.000,1919.030,25.700,167.600,87.190,9.760,
0.070,5.000,2,20,173.000,1760.080,28.600,161.600,70.940,10.890,
0.070,5.000,3,20,145.000,1931.230,25.100,136.200,77.920,9.600,
0.070,5.000,4,20,130.000,2035.200,25.300,121.800,69.610,9.840,
0.070,5.000,5,20,133.000,1835.090,25.200,122.700,80.810,9.470,
0.070,5.000,6,20,174.000,1941.750,25.000,164.600,78.920,10.780,
0.070,5.000,7,20,155.000,1654.850,25.000,144.900,68.570,9.020,
0.070,5.000,8,20,193.000,1480.540,25.600,183.400,78.060,8.600,
0.070,5.000,9,20,131.000,1774.270,28.500,122.000,72.100,9.170,
0.070,5.500,0,20,156.000,1732.260,27.600,144.900,69.000,9.570,
0.070,5.500,1,20,187.000,1919.030,27.600,176.200,96.450,9.520,
0.070,5.500,2,20,186.000,1760.080,29.400,174.300,75.250,11.190,
0.070,5.500,3,20,153.000,1931.230,28.800,144.700,84.480,9.570,
0.070,5.500,4,20,136.000,2035.200,27.500,127.100,73.220,9.880,
0.070,5.500,5,20,165.000,1835.090,28.100,153.500,90.330,9.470,
0.070,5.500,6,20,184.000,1941.750,27.500,174.600,84.240,10.970,
0.070,5.500,7,20,160.000,1654.850,27.500,149.300,77.050,8.920,
0.070,5.500,8,20,207.000,1480.540,27.700,197.400,89.000,8.880,
0.070,5.500,9,20,163.000,1774.270,30.700,152.100,83.140,9.520,
0.070,6.000,0,20,163.000,1732.260,30.100,151.900,71.110,9.250,
0.070,6.000,1,20,198.000,1919.030,30.500,186.800,102.670,9.900,
